AnimeID,Title,Type,Episodes,Aired Start,Aired End,Members,Score
19671,Free!: FrFr - Short Movie,Special,7,Sep 2013,Jan 2014,74223,7.62
1813,Genshiken OVA,OVA,3,Dec 2006,Apr 2007,51862,7.62
55315,Gensou Mangekyou: The Memories of Phantasm,OVA,18,Aug 2011,May 2023,7693,7.62
42625,Heion Sedai no Idaten-tachi,TV,11,Jul 2021,Sep 2021,196731,7.62
16904,K: Missing Kings,Movie,1,Jul 2014,Jul 2014,258549,7.62
5494,Konnichiwa Anne: Before Green Gables,TV,39,Apr 2009,Dec 2009,8213,7.62
32268,Koyomimonogatari,ONA,12,Jan 2016,Mar 2016,256056,7.62
251,Kyou kara Maou!,TV,78,Apr 2004,Feb 2006,117265,7.62
23385,Kyoukai no Kanata: Shinonome,Special,1,Jul 2014,Jul 2014,133314,7.62
1412,Lupin III,TV,23,Oct 1971,Mar 1972,105727,7.62
444,Maria-sama ga Miteru: Haru,TV,13,Jul 2004,Sep 2004,29008,7.62
52211,Mashle,TV,12,Apr 2023,Jul 2023,629178,7.62
7471,Meitantei Conan Movie 09: Suihei Senjou no Strategy Recap,TV,N/A,N/A,N/A,10021,7.62
9785,Meitantei Conan: Conan vs. Kid - Shark & Jewel,Movie,1,Jul 2005,Jul 2005,8839,7.62
58535,Ojamajo Carnival!!,ONA,1,Mar 2024,Mar 2024,1863,7.62
32729,Orange,TV,13,Jul 2016,Sep 2016,847360,7.62
35067,Osomatsu-san 2nd Season,TV,25,Oct 2017,Mar 2018,55783,7.62
34161,Overlord Movie 1: Fushisha no Ou,Movie,1,Feb 2017,Feb 2017,90419,7.62
50672,Sasaki to Miyano: Koi ni Kizuku Mae no Chotto Shita Hanashi.,OVA,1,Jul 2022,Jul 2022,38359,7.62
290,Seikai no Monshou,TV,13,Jan 1999,Mar 1999,54480,7.62
398,Seikai no Senki III,OVA,2,Aug 2005,Aug 2005,18386,7.62
9926,Sekaiichi Hatsukoi,TV,12,Apr 2011,Jun 2011,222290,7.62
18119,Servant x Service,TV,13,Jul 2013,Sep 2013,226746,7.62
582,Sexy Commando Gaiden: Sugoi yo!! Masaru-san,TV,48,Jan 1998,Apr 1998,13161,7.62
2499,Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,Movie,1,Jul 1995,Jul 1995,18307,7.62
25729,Tamayura: Sotsugyou Shashin Part 1 - Kizashi,Movie,1,Apr 2015,Apr 2015,13198,7.62
2557,Trapp Ikka Monogatari,TV,40,Jan 1991,Dec 1991,9044,7.62
33064,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,OVA,26,Feb 2017,Mar 2019,24122,7.62
32836,Senki Zesshou Symphogear AXZ,TV,13,Jul 2017,Oct 2017,37795,7.61
21843,Shingeki no Bahamut: Genesis,TV,12,Oct 2014,Dec 2014,422318,7.61
49858,Shinigami Bocchan to Kuro Maid 2nd Season,TV,12,Jul 2023,Sep 2023,88685,7.61
30549,Soukyuu no Fafner: Dead Aggressor - Exodus Part 2,TV,13,Oct 2015,Dec 2015,15758,7.61
539,Tenchi Muyou! Ryououki,OVA,6,Sep 1992,Mar 1993,55172,7.61
540,Tenchi Muyou! Ryououki 2nd Season,OVA,6,Sep 1994,Sep 1995,29575,7.61
10278,The iDOLM@STER,TV,25,Jul 2011,Dec 2011,155386,7.61
17437,The iDOLM@STER Movie: Kagayaki no Mukougawa e!,Movie,1,Jan 2014,Jan 2014,25236,7.61
50307,Tonikaku Kawaii 2nd Season,TV,12,Apr 2023,Jun 2023,260022,7.61
856,Utawarerumono,TV,26,Apr 2006,Sep 2006,174967,7.61
32717,Aikatsu Stars!,TV,100,Apr 2016,Mar 2018,21090,7.61
150,Blood+,TV,50,Oct 2005,Sep 2006,383512,7.61
39681,D4DJ First Mix,TV,13,Oct 2020,Jan 2021,43313,7.61
51898,Da Wang Rao Ming 2,ONA,12,Dec 2023,Jan 2024,18532,7.61
32551,Digimon Adventure tri. 3: Kokuhaku,Movie,1,Sep 2016,Sep 2016,75386,7.61
345,Eikoku Koi Monogatari Emma,TV,12,Apr 2005,Jun 2005,61025,7.61
22265,Free! Eternal Summer,TV,13,Jul 2014,Sep 2014,424945,7.61
32948,Fune wo Amu,TV,11,Oct 2016,Dec 2016,126673,7.61
123,Fushigi Yuugi,TV,52,Apr 1995,Mar 1996,122707,7.61
34855,Gabriel DropOut Specials,Special,2,Mar 2017,May 2017,72620,7.61
24765,Gakkougurashi!,TV,12,Jul 2015,Sep 2015,462274,7.61
18055,Hakkenden: Touhou Hakken Ibun 2nd Season,TV,13,Jul 2013,Sep 2013,64867,7.61
37704,High School Fleet Movie,Movie,1,Jan 2020,Jan 2020,18213,7.61
33446,Huyao Xiao Hongniang: Yue Hong,ONA,13,Jun 2016,Sep 2016,13807,7.61
3713,Jigoku Shoujo Mitsuganae,TV,26,Oct 2008,Apr 2009,104662,7.61
255,Jungle wa Itsumo Hare nochi Guu Final,OVA,7,Dec 2003,Jun 2004,10339,7.61
617,Juubee Ninpuuchou,Movie,1,Jun 1993,Jun 1993,147249,7.61
37306,K: Seven Stories Movie 5 - Memory of Red - Burn,Movie,1,Nov 2018,Nov 2018,22975,7.61
57635,Kamonohashi Ron no Kindan Suiri 2nd Season,TV,13,Oct 2024,N/A,37674,7.60
57217,Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,TV,12,Jul 2024,Sep 2024,75860,7.61
38594,"Kimi to, Nami ni Noretara",Movie,1,Jun 2019,Jun 2019,234801,7.61
36699,Kimitachi wa Dou Ikiru ka,Movie,1,Jul 2023,Jul 2023,101476,7.61
33191,Kishibe Rohan wa Ugokanai,OVA,4,Sep 2017,Mar 2020,153864,7.61
37027,Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,Movie,1,Jan 2019,Jan 2019,46667,7.61
1915,Mahou Shoujo Lyrical Nanoha StrikerS,TV,26,Apr 2007,Sep 2007,54617,7.61
1483,Master Keaton,TV,24,Oct 1998,Mar 1999,29499,7.61
28927,Owari no Seraph: Nagoya Kessen-hen,TV,12,Oct 2015,Dec 2015,809725,7.61
21473,Persona 3 the Movie 2: Midsummer Knight's Dream,Movie,1,Jun 2014,Jun 2014,90070,7.61
2594,Piano no Mori,Movie,1,Jul 2007,Jul 2007,69757,7.61
44059,Puparia,ONA,1,Nov 2020,Nov 2020,54167,7.61
208,R.O.D: Read or Die,OVA,3,May 2001,Feb 2002,70343,7.61
65,Rozen Maiden: Träumend,TV,12,Oct 2005,Jan 2006,107271,7.61
50613,Rurouni Kenshin: Meiji Kenkaku Romantan (2023),TV,24,Jul 2023,Dec 2023,127493,7.61
228,Jigoku Shoujo,TV,26,Oct 2005,Apr 2006,367640,7.60
25649,Junjou Romantica 3,TV,12,Jul 2015,Sep 2015,123383,7.60
145,Kareshi Kanojo no Jijou,TV,26,Oct 1998,Mar 1999,237805,7.60
35079,Kino no Tabi: The Beautiful World - The Animated Series,TV,12,Oct 2017,Dec 2017,215032,7.60
331,Mahoujin Guruguru,TV,45,Oct 1994,Sep 1995,11664,7.60
38958,Manga de Wakaru! Fate/Grand Order,TV,N/A,Dec 2018,Dec 2018,18808,7.60
7592,Nurarihyon no Mago,TV,24,Jul 2010,Dec 2010,278318,7.60
30240,Prison School,TV,12,Jul 2015,Sep 2015,1040147,7.60
53367,Shen Lan Qi Yu Wushuang Zhu: Tianmo Pian,ONA,15,Jan 2023,Apr 2023,942,7.60
49627,Shingeki no Kyojin: The Final Season Specials,Special,2,Jul 2021,Aug 2021,15948,7.60
40665,Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,Movie,1,Aug 2020,Aug 2020,8033,7.60
6444,Tegamibachi,TV,25,Oct 2009,Mar 2010,123506,7.60
9000,Toaru Hikuushi e no Tsuioku,Movie,1,Oct 2011,Oct 2011,77128,7.60
1002,Top wo Nerae 2! Diebuster,OVA,6,Oct 2004,Aug 2006,80451,7.60
57647,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Movie,1,May 2024,May 2024,6474,7.60
