AnimeID,Title,Type,Episodes,Aired Start,Aired End,Members,Score
44078,Jian Wang 3: Xia Gan Yi Dan Shen Jianxin 2nd Season,ONA,12,Dec 2019,Apr 2020,876,6.48
53476,Jiu Tian Xuan Di Jue 3rd Season,ONA,52,Oct 2022,Apr 2023,1012,6.48
6657,Joshikousei: Girl's High Specials,Special,3,May 2006,Sep 2006,4981,6.48
41877,Kamiarizuki no Kodomo,Movie,1,Oct 2021,Oct 2021,22274,6.48
1658,Karakuri no Kimi,OVA,1,Mar 2000,Mar 2000,9508,6.48
39326,Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,TV,12,Jul 2019,Sep 2019,337187,6.48
10808,Kidou Senshi Gundam AGE,TV,49,Oct 2011,Sep 2012,33696,6.48
34934,Koi to Uso,TV,12,Jul 2017,Sep 2017,428756,6.48
30384,Miss Monochrome The Animation 2,TV,13,Jul 2015,Sep 2015,21395,6.48
39720,Mu Wang Zhi Wang: Xuan Guan Si,ONA,20,Dec 2017,Apr 2018,720,6.48
33164,Musaigen no Phantom World: Limitless Phantom World,Special,7,Apr 2016,Oct 2016,34254,6.48
32190,Omoi no Kakera,TV,N/A,Mar 2016,Mar 2016,6510,6.48
58015,"One Piece: Dai Tannou Kikaku! ""Shi no Gekai"" Trafalgar Law",TV,N/A,Feb 2024,Feb 2024,2741,6.48
8487,Onigamiden,Movie,1,Apr 2011,Apr 2011,15296,6.48
3827,Ore wa Teppei,TV,28,Sep 1977,Mar 1978,2162,6.48
9884,Osomatsu-kun,TV,56,Feb 1966,Mar 1967,3919,6.48
12671,Pokemon Movie 15: Kyurem vs. Seikenshi,Movie,1,Jul 2012,Jul 2012,54772,6.48
57517,Puniru wa Kawaii Slime,TV,12,Oct 2024,N/A,5343,6.49
39231,Qiang Shen Ji,ONA,12,Dec 2017,Feb 2018,1705,6.48
20155,Ro-Kyu-Bu! SS Recap,TV,N/A,Aug 2013,Aug 2013,4490,6.48
27967,Senran Kagura Estival Versus: Mizugi-darake no Zenyasai,OVA,1,Mar 2015,Mar 2015,21257,6.48
23325,Shirogane no Ishi: Argevollen,TV,24,Jul 2014,Dec 2014,44868,6.48
27741,Shounen Hollywood: Holly Stage for 50,TV,13,Jan 2015,Apr 2015,7159,6.48
10013,Shouwa Monogatari (Movie),Movie,1,Jan 2011,Jan 2011,1762,6.48
32993,Sore ga Seiyuu!: Petit Uchiage,Special,1,Mar 2016,Mar 2016,5379,6.48
2010,Taiho Shichau zo in America,TV,N/A,Mar 2002,Mar 2002,5752,6.48
50689,The Missing 8,ONA,8,Dec 2021,Nov 2022,3814,6.48
4183,Uchuu Taitei God Sigma,TV,50,Mar 1980,Feb 1981,1934,6.48
4720,White Album,TV,13,Jan 2009,Mar 2009,124756,6.48
42506,World Witches Hasshin Shimasu!,TV,12,Jan 2021,Mar 2021,12485,6.48
41913,Wuxian Shaonu 48,ONA,12,Apr 2020,Jun 2020,998,6.48
48365,Youkai Watch ♪,TV,98,Apr 2021,Mar 2023,2692,6.48
35472,Yuuki Yuuna wa Yuushabu Shozoku 2,Movie,1,Apr 2017,Apr 2017,3921,6.48
